quantity;artist;album;genre;preis;monat;
1;Dismember;Pieces;Death Metal;CHF 35;Jan 92;
1;Dismember;Skin Her Alive;Death Metal;CHF 15;Jan 92;
1;Dismember;Like An Everflowing Stream;Death Metal;CHF 155;Jan 92;
1;Dismember;Where Ironcrosses Flow;Death Metal;CHF 15;Jan 92;
1;Merciless;The Awakening;Death Metal;CHF 250;Jan 92;
1;Overkill;The Years Of Decay;Thrash Metal;CHF 35;Jun 13;
1;Overkill;Horrorscope;Thrash Metal;CHF 45;Jun 13;
1;Overkill;Ironbound;Thrash Metal;CHF 50;Jun 13;
1;Overkill;Electric Age;Thrash Metal;CHF 25;Jul 13;
1;Overkill;Live From Oz;Thrash Metal;CHF 15;Jul 13;
0;Entombed;Uprising;Death Metal;CHF 155;Jul 13;
1;Entombed;Morning Star;Death Metal;CHF 155;Jul 13;
1;Metallica;Kill 'em All;Thrash Metal;CHF 55;Jul 13;
1;Sepultura;Arise;Thrash Metal;CHF 50;Jul 13;
1;Nervosa;Time Of Death;Thrash Metal;CHF 10;Jul 13;
1;Immortal;At The Heart Of Winter;Black Metal;CHF 150;Aug 13;
1;Hypocrisy;End Of Disclosure;Death Metal;CHF 35;Sep 13;
1;Hypocrisy;Too Drunk To Fuck;Death Metal;CHF 15;Sep 13;
1;Hypocrisy / Immortal;Valley Of The Damned / Hordes Of War;Black Metal;CHF 25;Sep 13;
1;Immortal;All Shall Fall;Black Metal;CHF 25;Sep 13;
1;Death;Human;Death Metal;CHF 90;Sep 13;
1;Death;Individual Thought Patterns;Death Metal;CHF 130;Sep 13;
1;Entombed;Wolverine Blues;Death Metal;CHF 145;Jan 14;
0;Lost Society;Fast Loud Death;Thrash Metal;CHF 30;Feb 14;
1;Dismember;Indicent & Obscene;Death Metal;CHF 55;Feb 14;
1;Blind Guardian;Tales From The Twilight World;Speed Metal;CHF 70;Feb 14;
0;Lost Society;Terror Hungry;Thrash Metal;CHF 45;Apr 14;
1;Emperor;In The Nightside Eclipse;Black Metal;CHF 140;Mai 14;
1;Emperor;s/t;Black Metal;CHF 190;Aug 14;
1;Enslaved;Hordanes Land;Black Metal;CHF 285;Aug 14;
1;Death;Scream Bloody Gore;Death Metal;CHF 70;Jun 15;
1;Death;Spiritual Healing;Death Metal;CHF 60;Jul 15;
1;Cannibal Corpse;Eaten Back To Life;Death Metal;CHF 85;Jul 15;
1;Cannibal Corpse;Butchered At Birth;Death Metal;CHF 45;Jul 15;
1;Grave;Into The Grave;Death Metal;CHF 55;Aug 15;
1;Entombed;Clandestine;Death Metal;CHF 85;Aug 15;
1;Obituary;Cause Of Death;Death Metal;CHF 45;Aug 15;
1;Obituary;Slowly We Rot;Death Metal;CHF 35;Aug 15;
1;Obituary;The End Complete;Death Metal;CHF 40;Sep 15;
1;Entombed;Left Hand Path;Death Metal;CHF 100;Okt 15;
1;Sargeist;Satanic Black Devotion;Black Metal;CHF 110;Dez 15;
1;Sargeist;Let The Devil In;Black Metal;CHF 75;Jan 16;
1;Mgla;Exercises In Futility;Black Metal;CHF 25;Jan 16;
1;Enslaved;Yggdrasil;Black Metal;CHF 30;Jan 16;
1;Mgla;Presence;Black Metal;CHF 55;Feb 16;
1;Taake;Doedskvad;Black Metal;CHF 125;Feb 16;
1;Mgla;With Hearts Toward None;Black Metal;CHF 55;Feb 16;
1;Enslaved;Frost;Black Metal;CHF 130;Feb 16;
1;Behemoth;… From The Pagan Vastlands;Black Metal;CHF 15;Feb 16;
1;Taake;Over Bjoergvin Graater Himmerik;Black Metal;CHF 90;Mär 16;
1;Mgla;Groza;Black Metal;CHF 65;Mär 16;
1;Taake;Nattestid Ser Porten Vid;Black Metal;CHF 110;Apr 16;
1;Taake;Taake;Black Metal;CHF 65;Apr 16;
1;Death;Leprosy;Black Metal;CHF 80;Apr 16;
1;Mgla;Mdlosci / Further Down The Nest;Black Metal;CHF 35;Mai 16;
1;Tribulation;The Formulas Of Death;Death Metal;CHF 85;Mai 16;
1;Tribulation;The Children Of The Night;Death Metal;CHF 35;Mai 16;
1;Asphyx;Death … The Brutal Way;Death Metal;CHF 55;Jun 16;
1;At The Gates;The Red In The Sky Is Ours;Death Metal;CHF 55;Jun 16;
1;At The Gates;With Fear I Kiss The Burning Darkness;Death Metal;CHF 100;Jun 16;
0;Vampire;Vampire;Death Metal;CHF 45;Jun 16;
0;Vampire;Cimmerian Shade;Death Metal;CHF 30;Jun 16;
1;Evocation;Evoked From Demonic Depths;Death Metal;CHF 25;Jul 16;
1;Demigod ;Slumber Of Sullen Eyes;Death Metal;CHF 175;Jul 16;
1;Fleshcrawl;Descend Into The Absurd;Death Metal;CHF 55;Aug 16;
1;Isvind;Dark Waters Stir;Black Metal;CHF 95;Aug 16;
1;Grotesque;In The Embrace Of Evil;Death Metal;CHF 95;Aug 16;
1;Edge Of Sanity;Unorthodox;Death Metal;CHF 90;Aug 16;
1;Therion;Of Darkness …;Death Metal;CHF 90;Aug 16;
1;Ringworm;Snake Church;Hardcore;CHF 25;Sep 16;
1;Deserted Fear;My Empire;Death Metal;CHF 55;Sep 16;
1;Isvind;Daumyra;Black Metal;CHF 20;Sep 16;
1;Deserted Fear;Kingdom Of Worms;Death Metal;CHF 30;Sep 16;
1;Isvind;Inet Lever;Black Metal;CHF 35;Sep 16;
1;Benediction;Killing Music;Death Metal;CHF 65;Okt 16;
0;Stilla;Ensamhetens Andar;Black Metal;CHF 20;Okt 16;
1;Uada;Devoid Of Light;Black Metal;CHF 25;Nov 16;
1;Ringworm;The Promise;Hardcore;CHF 45;Nov 16;
1;Ringworm;Birth Is Pain;Hardcore;CHF 50;Nov 16;
1;Ringworm;The Venomous Grand Design;Hardcore;CHF 35;Nov 16;
1;Ringworm;Hammer Of The Witch;Hardcore;CHF 25;Nov 16;
0;Furia;Grudzień Za Grudniem;Black Metal;CHF 15;Nov 16;
1;Furia;Marzannie, Królowej Polski;Black Metal;CHF 15;Nov 16;
0;Furia;Nocel;Black Metal;CHF 20;Nov 16;
1;Djevel;Dødssanger;Black Metal;CHF 35;Nov 16;
1;Djevel;Saa raa og kald;Black Metal;CHF 25;Dez 16;
1;Djevel;Norske Ritualer;Black Metal;CHF 25;Dez 16;
1;Hierophant;Mass Grave;Death Metal;CHF 25;Dez 16;
1;Birds In Row;You, Me & Violence;Hardcore;CHF 25;Dez 16;
1;Tsjuder;Desert Northern Hell;Black Metal;CHF 40;Jan 17;
1;Liå;Til Avsky For Livet;Black Metal;CHF 85;Jan 17;
1;Ringworm;Justice Replaced By Revenge;Hardcore;CHF 40;Jan 17;
1;Vanhelgd;Temple Of Phobos;Death Metal;CHF 20;Jan 17;
1;Tsjuder;Legion Helvete;Black Metal;CHF 30;Jan 17;
1;Birds In Row;Personal War;Hardcore;CHF 40;Jan 17;
1;Deserted Fear;Dead Shores Rising;Death Metal;CHF 25;Feb 17;
1;Baptism;V: The Devil's Fire;Black Metal;CHF 25;Feb 17;
1;Ringworm;Scars;Hardcore;CHF 30;Mär 17;
1;Bloodbath;Nightmares Made Flesh;Death Metal;CHF 120;Mär 17;
1;Lionheart;Love Don't Live Here;Hardcore;CHF 20;Mär 17;
1;First Blood;Rules;Hardcore;CHF 20;Mär 17;
1;Terror;Lowest Of The Low;Hardcore;CHF 35;Mär 17;
1;Ays;Worlds Unknown;Hardcore;CHF 30;Mär 17;
1;No Turning Back;No Time To Waste;Hardcore;CHF 20;Mär 17;
1;Deicide;Deicide;Death Metal;CHF 50;Apr 17;
1;Entrails;Raging Death;Death Metal;CHF 25;Apr 17;
1;Kvist;For Kunsten Maa Vi Evig Vike;Black Metal;CHF 65;Apr 17;
